"","w_v","Method","Prop","X1","X2","Prop.1","X1.1","X2.1","Prop.2","X1.2","X2.2","Prop.3","X1.3","X2.3","Prop.4","X1.4","X2.4"
"1",0.2,"MAP",0.008,0.2325,0.0019,0.013,0.2389,0.0012,0.029,0.2489,0.001,0.049,0.258,0.0017,0.085,0.2724,0.0038
"2",0.2,"rMAP",0.01,0.2285,0.0024,0.015,0.2367,0.0018,0.028,0.2492,0.0015,0.046,0.26,0.0023,0.073,0.278,0.0044
"3",0.2,"Alt1",0.009,0.2303,0.0023,0.014,0.2381,0.0017,0.028,0.25,0.0015,0.046,0.2608,0.0023,0.072,0.2787,0.0046
"4",0.2,"Alt2",0.008,0.2304,0.0021,0.013,0.2382,0.0016,0.027,0.2503,0.0014,0.044,0.2612,0.0021,0.066,0.2785,0.0039
"5",0.5,"MAP",0.008,0.2327,0.0018,0.014,0.238,0.0012,0.028,0.2486,0.001,0.051,0.258,0.0017,0.093,0.2726,0.0038
"6",0.5,"rMAP",0.018,0.223,0.0031,0.023,0.2318,0.0029,0.031,0.2493,0.0028,0.048,0.2642,0.0036,0.072,0.2884,0.0057
"7",0.5,"Alt1",0.015,0.2249,0.003,0.021,0.2335,0.0028,0.03,0.2509,0.0028,0.047,0.2659,0.0036,0.069,0.2908,0.0058
"8",0.5,"Alt2",0.011,0.2232,0.0031,0.019,0.2329,0.003,0.028,0.252,0.0032,0.042,0.2685,0.0037,0.058,0.2938,0.005
"9",0.8,"MAP",0.009,0.2322,0.0019,0.016,0.2394,0.0013,0.027,0.2484,0.001,0.051,0.2582,0.0016,0.088,0.2726,0.0038
"10",0.8,"rMAP",0.034,0.2132,0.005,0.037,0.2299,0.005,0.039,0.2505,0.0053,0.048,0.2726,0.0059,0.057,0.3045,0.0076
"11",0.8,"Alt1",0.028,0.2157,0.0048,0.032,0.2323,0.005,0.036,0.2528,0.0054,0.045,0.2752,0.006,0.054,0.3075,0.0077
"12",0.8,"Alt2",0.023,0.2131,0.0055,0.028,0.2315,0.006,0.033,0.2543,0.0064,0.041,0.2788,0.0068,0.044,0.3133,0.0078
